# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0000082p135624_001 460.9 24 8 0.03449959995 13.9401226497 1 11490_000
acisfJ0000352m574823_001 371.3 48 15 0.147001398074 -57.8065225684 1 09335_000
acisfJ0001064m250029_001 373.0 67 16 0.276755430897 -25.0082825659 1 13394_000
acisfJ0001122m100200_001 14.1 2 0 0.301136020066 -10.0334545823 1 11439_000
acisfJ0001211p023337_001 457.1 22 9 0.338019311249 2.5604355781 1 04837_001
acisfJ0001260p130630_001 410.9 59 24 0.358303889344 13.1083971641 2 06978_000,08491_001
acisfJ0001409p232924_001 459.4 56 16 0.420763843799 23.4901025769 1 14898_000
acisfJ0002312p004925_001 456.1 19 4 0.630094240937 0.823688060023 1 04861_001
acisfJ0002407p255004_001 467.0 15 5 0.669586687387 25.8345621074 1 05610_001
acisfJ0002547m354600_001 380.4 65 19 0.727920887417 -35.7667383775 1 06973_000
acisfJ0002595p160743_001 385.8 74 25 0.748066458963 16.1288088157 1 11309_000
acisfJ0003030m355501_001 379.9 40 21 0.762903592306 -35.917034495 1 06974_000
acisfJ0003226m260306_001 590.1 60 13 0.844464454365 -26.0517837834 3 12795_000,14215_000,14216_001
acisfJ0005517m000621_001 457.3 35 10 1.4657295009 -0.106038701741 1 05617_003
acisfJ0006127p105319_001 382.2 45 15 1.5532303753 10.8887594693 1 12251_000
acisfJ0006217m412916_001 452.4 31 9 1.5907937037 -41.4879684359 1 11236_000
acisfJ0006535m001459_001 456.2 16 3 1.7232513288 -0.249840492207 1 04096_002
acisfJ0007037p155406_001 22.6 1 0 1.7656301542 15.9016869822 1 02151_000
acisfJ0007077p730309_001 384.9 41 13 1.7824777076 73.0527480805 1 03835_000
acisfJ0007229p020337_001 456.8 13 3 1.8458077401 2.0604934899 1 04828_001
acisfJ0008200p512327_001 376.5 57 30 2.0835414905 51.3908788836 1 08942_000
acisfJ0008450p155109_001 449.8 16 4 2.1876436639 15.8526029704 1 07127_000
acisfJ0008461p192340_001 460.2 20 10 2.1921772677 19.3944882612 1 02986_001
acisfJ0009364m321626_001 382.2 61 16 2.4018445716 -32.2741047806 1 05783_000
acisfJ0009500p124420_001 460.0 24 12 2.4585735014 12.7389107382 1 12157_000
acisfJ0009536p255508_001 40.3 14 1 2.4736328497 25.9191537536 1 10401_000
acisfJ0009577m245747_001 460.1 45 11 2.4907735112 -24.9631775738 1 09547_000
